Nuclei_ID,AlleleNum,TrackID,Time_Activation
09.01_1k_3_1,2,1000000003,9
09.01_1k_3_1,1,1000000000,10
09.01_1k_3_2,1,1000000000,7
09.01_1k_3_2,2,1000000004,6
09.01_1k_3_3,2,1000000001,5
09.01_1k_3_3,1,1000000000,8
09.01_1k_3_4,2,1000000004,11
09.01_1k_3_4,1,1000000000,7
09.01_1k_3_9,1,1000000000,8
09.01_1k_8_1,2,1000000000,18
09.01_1k_8_1,1,1000000001,18
09.01_1k_8_2,2,1000000001,9
09.01_1k_8_2,1,1000000000,8
09.01_1k_8_5,2,1000000000,9
09.01_1k_8_5,1,1000000001,11
09.01_1k_8_13,1,1000000002,13
09.01_1k_8_13,2,1000000000,13
09.01_1k_8_16,1,1000000000,12
09.01_1k_8_16,2,1000000005,14
11.01_1k_6_1,2,1000000000,15
11.01_1k_6_1,1,1000000002,18
11.01_1k_6_2,2,1000000002,12
11.01_1k_6_2,1,1000000000,15
11.01_1k_6_3,2,1000000000,16
11.01_1k_6_3,1,1000000003,19
11.01_1k_6_5,2,1000000000,17
11.01_1k_6_5,1,1000000002,20
11.01_1k_6_6,1,1000000001,18
11.01_1k_6_6,2,1000000000,17
11.01_1k_8_2,2,1000000000,18
11.01_1k_8_2,1,1000000003,16
11.01_1k_8_4,2,1000000001,17
11.01_1k_8_4,1,1000000000,19
11.01_1k_8_5,1,1000000000,18
11.01_1k_8_5,2,1000000001,16
11.01_1k_8_8,2,1000000004,15
11.01_1k_8_8,1,1000000000,15
11.01_1k_8_9,1,1000000002,15
11.01_1k_8_9,2,1000000000,16
12.01_1k_9_1,1,1000000001,20
12.01_1k_9_1,2,1000000000,18
12.01_1k_9_4,1,1000000000,18
12.01_1k_9_5,2,1000000003,8
12.01_1k_9_5,1,1000000000,9
12.01_1k_9_6,2,1000000002,8
12.01_1k_9_6,1,1000000000,8
12.01_1k_9_10,1,1000000000,7
12.01_1k_9_10,2,1000000004,7
12.01_1k_9_15,1,1000000000,10
12.01_1k_9_15,2,1000000001,8
16.05_1k_3_1,1,1000000000,9
16.05_1k_3_1,2,1000000005,12
16.05_1k_3_2,1,1000000001,8
16.05_1k_3_2,2,1000000000,8
16.05_1k_3_3,1,1000000000,8
16.05_1k_3_3,2,1000000002,5
16.05_1k_3_4,1,1000000000,6
16.05_1k_3_4,2,1000000002,7
16.05_1k_3_5,1,1000000002,5
16.05_1k_3_5,2,1000000000,4
16.05_1k_3_6,2,1000000003,10
16.05_1k_3_6,1,1000000000,9
16.05_1k_3_9,2,1000000000,13
16.05_1k_3_9,1,1000000003,13
16.05_1k_3_10,2,1000000002,13
16.05_1k_3_10,1,1000000000,13
16.05_1k_4_1,2,1000000001,14
16.05_1k_4_1,1,1000000000,13
16.05_1k_4_2,1,1000000000,13
16.05_1k_4_2,2,1000000001,14
16.05_1k_4_3,2,1000000001,17
16.05_1k_4_3,1,1000000000,19
16.05_1k_4_4,2,1000000001,16
16.05_1k_4_4,1,1000000000,17
16.05_1k_4_5,1,1000000000,20
16.05_1k_4_5,2,1000000001,16
16.05_1k_4_6,2,1000000001,16
16.05_1k_4_6,1,1000000000,15
16.05_1k_4_7,1,1000000000,11
16.05_1k_4_7,2,1000000006,12
16.05_1k_4_8,2,1000000000,13
16.05_1k_4_8,1,1000000001,14
16.05_1k_4_9,1,1000000001,16
16.05_1k_4_9,2,1000000000,15
16.05_1k_4_11,2,1000000001,12
16.05_1k_4_11,1,1000000000,12
16.05_1k_4_12,1,1000000000,16
16.05_1k_4_12,2,1000000001,16
16.05_1k_4_13,2,1000000001,12
16.05_1k_4_13,1,1000000000,15
